...1,KODE,NAMA FASKES,JUMLAH PESERTA KB BARU,1 BULANAN,3 BULANAN KOMBINASI,3 BULANAN PROGESTIN,KOMBINASI,PROGESTIN,KONDOM,1 BATANG,2 BATANG,IUD,VASEKTOMI,TUBEKTOMI,BULAN,KABUPATEN,KECAMATAN,TAHUN
820,760101103,Pustu Towoni,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,PASANGKAYU,BARAS,2023
839,760600402,PKD KM 10,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,MAMUJU TENGAH,BUDONG-BUDONG,2023
848,760600404,pustu barakkang,5,0,0,4,0,0,0,0,1,0,0,0,JANUARI,MAMUJU TENGAH,BUDONG-BUDONG,2023
862,760403303,Poskesdes Amola,2,2,0,0,0,0,0,0,0,0,0,0,JANUARI,POLEWALI MANDAR,BINUANG,2023
866,760403705,Poskesdes Pulliwa,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,POLEWALI MANDAR,BULO,2023
877,760100313,Pustu Sawi,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,PASANGKAYU,BAMBALAMOTU,2023
879,760100307,Poskesdes Hikma,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,PASANGKAYU,BAMBALAMOTU,2023
885,760100302,Pustu Kalola,21,0,0,0,0,0,0,0,21,0,0,0,JANUARI,PASANGKAYU,BAMBALAMOTU,2023
891,760100207,PUSTU BAMBAIRA,3,0,0,2,1,0,0,0,0,0,0,0,FEBRUARI,PASANGKAYU,BAMBAIRA,2023
900,760100313,Pustu Sawi,0,0,0,0,0,0,0,0,0,0,0,0,FEBRUARI,PASANGKAYU,BAMBALAMOTU,2023
902,760100307,Poskesdes Hikma,0,0,0,0,0,0,0,0,0,0,0,0,FEBRUARI,PASANGKAYU,BAMBALAMOTU,2023
908,760100302,Pustu Kalola,0,0,0,0,0,0,0,0,0,0,0,0,FEBRUARI,PASANGKAYU,BAMBALAMOTU,2023
913,760403705,Poskesdes Pulliwa,0,0,0,0,0,0,0,0,0,0,0,0,FEBRUARI,POLEWALI MANDAR,BULO,2023
934,760403303,Poskesdes Amola,0,0,0,0,0,0,0,0,0,0,0,0,FEBRUARI,POLEWALI MANDAR,BINUANG,2023
937,7604010,PUSKESMAS CAMPALAGIAN,3,0,0,1,0,0,0,0,2,0,0,0,FEBRUARI,POLEWALI MANDAR,CAMPALAGIAN,2023
964,7604018,PUSKESMAS PAMBUSUANG,1,0,0,0,0,0,0,0,1,0,0,0,FEBRUARI,POLEWALI MANDAR,BALANIPA,2023
983,7604020,PUSKESMAS LIMBORO,0,0,0,0,0,0,0,0,0,0,0,0,FEBRUARI,POLEWALI MANDAR,LIMBORO,2023
985,7601001,UPT PUSKESMAS SARJO,0,0,0,0,0,0,0,0,0,0,0,0,FEBRUARI,PASANGKAYU,SARJO,2023
991,760300608,PUSTU TABONE,2,0,0,0,0,0,0,0,2,0,0,0,FEBRUARI,MAMASA,SUMARORONG,2023
1000,7604034,PUSKESMAS BATUPANGA,0,0,0,0,0,0,0,0,0,0,0,0,FEBRUARI,POLEWALI MANDAR,LUYO,2023
1007,760403417,PUSTU BATUPANGA DAALA,0,0,0,0,0,0,0,0,0,0,0,0,FEBRUARI,POLEWALI MANDAR,LUYO,2023
1013,7604021,PUSKESMAS TUTALLU,6,0,0,4,0,0,0,0,2,0,0,0,FEBRUARI,POLEWALI MANDAR,ALLU,2023
1015,760402103,POSKESDES PAO - PAO,0,0,0,0,0,0,0,0,0,0,0,0,FEBRUARI,POLEWALI MANDAR,ALLU,2023
1025,760100704,POSKESDES PAJALELE,0,0,0,0,0,0,0,0,0,0,0,0,FEBRUARI,PASANGKAYU,TIKKE RAYA,2023
1026,7601007,UPT PUSKESMAS TIKKE,2,0,2,0,0,0,0,0,0,0,0,0,FEBRUARI,PASANGKAYU,TIKKE RAYA,2023
1044,760501002,PUSTU ULUMANDA,1,0,0,1,0,0,0,0,0,0,0,0,FEBRUARI,MAJENE,ULUMANDA,2023
1056,7605011,PKM SENDANA II,1,0,0,1,0,0,0,0,0,0,0,0,FEBRUARI,MAJENE,TUBO SENDANA,2023
1057,760501108,"PRAKTEK MANDIRI BIDAN NURAENI, S.ST,",8,0,0,0,0,0,0,0,3,5,0,0,FEBRUARI,MAJENE,TUBO SENDANA,2023
1065,760101201,Pustu Kumasari,3,0,0,3,0,0,0,0,0,0,0,0,FEBRUARI,PASANGKAYU,SARUDU,2023
1070,7601015,UPT PUSKESMAS DURIPOKU,0,0,0,0,0,0,0,0,0,0,0,0,FEBRUARI,PASANGKAYU,DURIPOKU,2023
1086,760202603,Poskesdes Kasambang,0,0,0,0,0,0,0,0,0,0,0,0,FEBRUARI,MAMUJU,TAPALANG,2023
