KABUPATEN,KECAMATAN,KODE,NAMA FASKES,JUMLAH PESERTA KB BARU,SUNTIK 1 BULANAN,SUNTIK 3 BULANAN KOMBINASI,SUNTIK 3 BULANAN PROGESTIN,PIL KOMBINASI,PIL PROGESTIN,KONDOM,IMPLAN 1 BATANG,IMPLAN 2 BATANG,IUD,VASEKTOMI,TUBEKTOMI,BULAN,TAHUN
MAMUJU TENGAH,TOBADAK,760600502,PUSTU POLONGAAN,3,0,0,1,1,1,0,0,0,0,0,0,MARET,2024
PASANGKAYU,DAPURANG,760101404,Polindes Tabalia,0,0,0,0,0,0,0,0,0,0,0,0,MARET,2024
POLEWALI MANDAR,LUYO,760403417,PUSTU BATUPANGA DAALA,1,0,1,0,0,0,0,0,0,0,0,0,MARET,2024
POLEWALI MANDAR,POLEWALI,760404703,PUSTU TAKATIDUNG,6,4,0,0,2,0,0,0,0,0,0,0,MARET,2024
MAMASA,TAWALIAN,760301401,PUSTU TAWALIAN TIMUR,0,0,0,0,0,0,0,0,0,0,0,0,MARET,2024
PASANGKAYU,PASANGKAYU,7601016,RSUD Kabupaten Pasangkayu,26,0,0,0,1,0,0,0,0,12,0,13,MARET,2024
POLEWALI MANDAR,CAMPALAGIAN,7604010,PUSKESMAS CAMPALAGIAN,19,0,0,4,0,0,0,0,14,1,0,0,MARET,2024
PASANGKAYU,LARIANG,760100804,POSKESDES BAMBAKORO,3,0,1,2,0,0,0,0,0,0,0,0,MARET,2024
POLEWALI MANDAR,MAPILLI,760402807,PUSTU RUMPA,0,0,0,0,0,0,0,0,0,0,0,0,MARET,2024
POLEWALI MANDAR,MATAKALI,760403803,PUSTU PATAMPANUA,0,0,0,0,0,0,0,0,0,0,0,0,MARET,2024
MAMUJU TENGAH,KAROSSA,7606010,Puskesmas lara,2,0,0,0,0,0,1,0,1,0,0,0,MARET,2024
MAMUJU TENGAH,KAROSSA,760601002,pustu salubiro,2,0,0,2,0,0,0,0,0,0,0,0,MARET,2024
MAMUJU TENGAH,PANGALE,760600205,Poskesdes Lamba- lamba,1,0,0,1,0,0,0,0,0,0,0,0,MARET,2024
MAMUJU TENGAH,PANGALE,760600204,Pustu Kombiling,1,0,0,1,0,0,0,0,0,0,0,0,MARET,2024
MAMASA,MAMASA,7603020,RUMAH SAKIT BANUA MAMASE,5,0,0,2,2,0,0,0,1,0,0,0,MARET,2024
MAMUJU,TAPALANG,760202603,Poskesdes Kasambang,3,0,0,1,2,0,0,0,0,0,0,0,MARET,2024
POLEWALI MANDAR,TUTAR,760402201,POSKESDES RATTE,8,0,0,0,0,0,0,0,8,0,0,0,MARET,2024
POLEWALI MANDAR,WONOMULYO,7604029,PUSKESMAS WONOMULYO,4,0,0,1,0,0,0,0,3,0,0,0,MARET,2024
MAMUJU,MAMUJU,7602009,PUSKESMAS BAMBU,11,0,0,1,0,0,0,7,2,1,0,0,MARET,2024
MAMASA,TABANG,760301004,Pustu Kalama,0,0,0,0,0,0,0,0,0,0,0,0,MARET,2024
PASANGKAYU,TIKKE RAYA,760100704,POSKESDES PAJALELE,2,0,1,0,1,0,0,0,0,0,0,0,MARET,2024
PASANGKAYU,SARUDU,760101201,Pustu Kumasari,0,0,0,0,0,0,0,0,0,0,0,0,MARET,2024
MAMASA,BUNTUMALANGKA,760301603,PUSTU PENATANGAN,0,0,0,0,0,0,0,0,0,0,0,0,MARET,2024
MAJENE,SENDANA,760501314,PUSTU TALLU BANUA,3,0,0,1,0,0,1,0,0,1,0,0,MARET,2024
MAJENE,SENDANA,760501315,POSKESDES TULLU BULAN,0,0,0,0,0,0,0,0,0,0,0,0,MARET,2024
MAJENE,SENDANA,760501307,PUSTU PUNDAU,0,0,0,0,0,0,0,0,0,0,0,0,MARET,2024
MAJENE,MALUNDA,760500806,PUSTU BAMBANGAN,0,0,0,0,0,0,0,0,0,0,0,0,MARET,2024
